"start_station_name","start_lat","start_lng","total_rides","casual_rides","casual_percentage"
"Chicago Ave & Washington St",42.032562,-87.679101,2959,1186,40.08
"Elston Ave & Henderson St",41.941499,-87.701051,541,216,39.93
"Damen Ave & Lake St",41.8849659,-87.6768354,4197,1675,39.91
"Milwaukee Ave & Rockwell St",41.92033,-87.69309,4035,1610,39.90
"Green St & Randolph St",41.883601657275165,-87.64862671494483,4072,1624,39.88
"Kostner Ave & Devon Ave",41.997032,-87.73837,261,104,39.85
"Kedzie Ave & Milwaukee Ave",41.9297142,-87.7079884,6785,2702,39.82
"South Shore Dr & 71st St",41.7664094567,-87.5656875719,1194,475,39.78
"Cottage Grove Ave & 63rd St",41.78053094070882,-87.6059702038765,1086,432,39.78
"Benson Ave & Church St",42.048214,-87.683485,6357,2528,39.77
"Kedzie Ave & 21st St",41.85353363213,-87.7050730318,601,239,39.77
"Richmond St & Diversey Ave",41.93190196886,-87.7011951301,2782,1106,39.76
"Stony Island Ave & 75th St",41.7586696704,-87.586882871,239,95,39.75
"Ashland Ave & McDowell Ave",41.809719,-87.663477,242,96,39.67
"Wabash Ave & Grand Ave",41.891466,-87.626761,21517,8529,39.64
"Houston Ave & 92nd St",41.72820421535798,-87.54970014095306,106,42,39.62
"Wentworth Ave & 33rd St",41.83452988563,-87.6318229814,1997,791,39.61
"Halsted St & Belden St",41.92365,-87.64894,5341,2115,39.60
"Kilbourn Ave & Diversey Ave",41.93179,-87.73934,293,116,39.59
"Damen Ave/Coulter St",41.8492,-87.67564,341,135,39.59
"Kildare Ave & Montrose Ave",41.96108,-87.73569,604,239,39.57
"Farragut Ave & Central Ave",41.97666,-87.76823,268,106,39.55
"Michigan Ave & Madison St",41.882134,-87.625125,6487,2560,39.46
"Public Rack - Wacker Dr & Madison St (West)",41.8819919,-87.63729759,109,43,39.45
"Princeton Ave & Garfield Blvd",41.794982,-87.633124,358,141,39.39
"State St & Randolph St",41.88462107257936,-87.62783423066139,11682,4599,39.37
"Clark St & Armitage Ave",41.918306,-87.636282,24078,9443,39.22
"Public Rack - Sangamon St & Fulton St",41.88692786,-87.6511014,342,134,39.18
"State St & Van Buren St",41.877181,-87.627844,7159,2805,39.18
"Sacramento Ave & Linden Pl",41.92575,-87.70258,2350,918,39.06
"Elston Ave & Henderson St",41.94154,-87.70086,374,146,39.04
"Ashland Ave & Lake St",41.88592,-87.66717,5163,2013,38.99
"Public Rack - Christiana Ave & Belmont Ave",41.93917,-87.71169,372,145,38.98
"Cityfront Plaza Dr & Pioneer Ct",41.890573,-87.622072,11661,4543,38.96
"Public Rack - Kenmore Ave & Armitage Ave",41.91821172,-87.65452851,108,42,38.89
"Indiana Ave & 26th St",41.845687,-87.622481,2859,1111,38.86
"Ashland Ave & Grace St",41.95068,-87.6687,3119,1211,38.83
"Damen Ave & Coulter St",41.850434,-87.674989,227,88,38.77
"Wells St & Ohio St",41.89281,-87.63421,3358,1302,38.77
